areacode,mobile_lister,longt,config_type,immediate_possession,Details,txn_type,property_type,Status,city,lease_period,management_by_landlord,locality,platform,Selling_price,Building_name,updated_date,name_lister,Monthly_Rent,price_on_req,address,lat,google_place_id,listing_by,data_id,age,listing_date,carpet_area,sqft,sublocality
,,,None,Immediate/Ready to move,Office Space for sale in Andheri West,sale,commercial,Unfurnished,mumbai,,, Andheri West,propertywala,"38,000,000",,,Ashok  Mehra,,,,,,Broker,P67512536,,2016-07-06,,2000 SqFeet,
,,,3bhk,Within 3 Years,3 Bedroom Apartment / Flat for sale in Goregaon West,sale,residential,Semi Furnished,mumbai,,, Goregaon West,propertywala,"26,000,000",,,Abhimanyu  Singh,,,,,,Broker,P24415353,,2016-07-17,,1768 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for rent in Thakur Village,rent,residential,Unfurnished,mumbai,18 Months,, Thakur Village,propertywala,,,,,"26,000",,,,,Owner,P11693455,,2016-07-10,,680 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Goregaon East,sale,commercial,Unfurnished,mumbai,,, Goregaon East,propertywala,"2,100,000",,,Sunil  Gautam,,,,,,Broker,P811790811,,2016-07-08,,400 SqFeet,
,,,None,Immediate/Ready to move,Multipurpose Building for sale in Malad West,sale,commercial,Unfurnished,mumbai,,, Malad West,propertywala,"1,250,000,000",,,Hitesh  Gala,,,,,,Broker,P68512616,,2016-07-07,,59410 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Mulund East,rent,residential,,mumbai,,, Mulund East,propertywala,,,,,"20,000",,,,,Owner,P22653351,,2016-07-06,,900 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Malad West,rent,residential,,mumbai,,, Malad West,propertywala,,,,,"6,000",,,,,Owner,P81346125,,2016-07-10,,,
,,,4bhk,Immediate/Ready to move,4 Bedroom Apartment / Flat for rent in Rizvi Nagar,rent,residential,,mumbai,,, Rizvi Nagar,propertywala,,,,,"70,000",,,,,Owner,P58851231,,2016-07-06,,,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Malad West,rent,residential,,mumbai,,, Malad West,propertywala,,,,,"25,000",,,,,Owner,P11248675,,2016-07-06,,,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for rent in Mulund East,rent,residential,,mumbai,,, Mulund East,propertywala,,,,Ravinder Singh Lohat,"40,000",,,,,Broker,P34265513,,2016-07-10,,1550 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Powai,rent,residential,,mumbai,,, Powai,propertywala,,,,Arun C S,"28,000",,,,,Broker,P81334155,,2016-07-10,,600 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for rent in Sewri,rent,residential,Semi Furnished,mumbai,12 Months,, Sewri,propertywala,,,,Rajesh  Dube,"77,000",,,,,Broker,P45865129,,2016-07-11,,967 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Goregaon East,rent,residential,Unfurnished,mumbai,11 Months,, Goregaon East,propertywala,,,,Sunil  Gautam,"14,000",,,,,Broker,P684116591,,2016-07-11,,540 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for rent in Milat Nagar,rent,residential,Furnished,mumbai,11 Months,, Milat Nagar,propertywala,,,,Property  Home,"65,000",,,,,Broker,P51251973,,2016-06-28,,1200 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Paying Guest for rent in Andheri East,rent,residential,Furnished,mumbai,11 Months,, Andheri East,propertywala,,,,Sourab  Poddar,"8,100",,,,,Broker,P211110711,,2016-07-08,,1500 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for rent in Andheri West,rent,residential,Furnished,mumbai,11 Months,, Andheri West,propertywala,,,,Property  Home,"75,000",,,,,Broker,P80340285,,2016-06-28,,1760 SqFeet,
,,,2bhk,Immediate/Ready to move,"2 Bedroom Flat for rent in Raheja Sherwood, Goregaon East",rent,residential,Semi Furnished,mumbai,12 Months,," Raheja Sherwood, Goregaon East",propertywala,,Raheja Sherwood,,Manpreet  Singh,"50,000",,,,,Broker,P90996152,,2016-07-08,,1250 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for rent in Juhu,rent,residential,Unfurnished,mumbai,11 Months,, Juhu,propertywala,,,,Property  Home,"110,000",,,,,Broker,P69476768,,2016-06-28,,2050 SqFeet,
,,,2bhk,Within 3 Months,2 Bedroom Apartment / Flat for sale in Andheri East,sale,residential,Unfurnished,mumbai,,, Andheri East,propertywala,"13,000,000",,,Vinod Amarnath Tripathi,,,,,,Broker,P83457345,,2016-07-18,,1100 SqFeet,
,,,2bhk,Within 3 Months,2 Bedroom Apartment / Flat for rent in Parel,rent,residential,Furnished,mumbai,12 Months,, Parel,propertywala,,,,Rajesh  Dube,"140,000",,,,,Broker,P75131803,,2016-07-11,,1010 SqFeet,
,,,5bhk,Immediate/Ready to move,"5 Bedroom Flat for rent in Oberoi Woods, Goregaon East",rent,residential,Semi Furnished,mumbai,11 Months,," Oberoi Woods, Goregaon East",propertywala,,Oberoi Woods,,Property  Home,"150,000",,,,,Broker,P18578374,,2016-06-28,,2350 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for sale in Charkop,sale,residential,,mumbai,,, Charkop,propertywala,"3,550,000",,,Vishal  Parab,,,,,,Broker,P49375138,,2016-07-13,,450 SqFeet,
,,,3bhk,Within 4 Years,3 Bedroom Apartment / Flat for sale in Vaishali Nagar,sale,residential,Unfurnished,mumbai,,, Vaishali Nagar,propertywala,"24,100,000",,,Pravin  Ladkat,,,,,,Broker,P121142731,,2016-07-03,,1557 SqFeet,
,,,2bhk,Within 2 Years,2 Bedroom Apartment / Flat for sale in Mulund West,sale,residential,Unfurnished,mumbai,,, Mulund West,propertywala,"14,400,000",,,Pravin  Ladkat,,,,,,Broker,P67511825,,2016-07-03,,1120 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Paying Guest for rent in J B Nagar,rent,residential,Furnished,mumbai,11 Months,, J B Nagar,propertywala,,,,Sourab  Poddar,"8,001",,,,,Broker,P311108111,,2016-07-07,,1500 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in Powai,sale,residential,,mumbai,,, Powai,propertywala,"17,000,000",,,Pramod Kumar Singh,,,,,,Broker,P11442715,,2016-07-16,,,
,,,4bhk,Immediate/Ready to move,4 Bedroom Apartment / Flat for sale in Powai,sale,residential,,mumbai,,, Powai,propertywala,"49,300,000",,,Bhisham Ramchand Makhija,,,,,,Broker,P480801214,,2016-07-17,,4000 SqFeet,
,,,3bhk,Within 3 Years,"3 Bedroom Flat for sale in Kalpataru Brilliance, Goregaon West",sale,residential,Semi Furnished,mumbai,,," Kalpataru Brilliance, Goregaon West",propertywala,"21,126,000",Kalpataru Brilliance,,Square  Yards,,,,,,Broker,P45765121,,2016-07-04,,1509 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for sale in Sion East,sale,residential,,mumbai,,, Sion East,propertywala,"10,000",,,Ghanshyam Atmaram Fatnani,,,,,,Broker,P42835144,,2016-07-17,,,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for sale in Wadala,sale,residential,,mumbai,,, Wadala,propertywala,"32,000,000",,,,,,,,,Owner,P94208351,,2016-07-15,,862 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in Goregaon East,sale,residential,,mumbai,,, Goregaon East,propertywala,"14,500,000",,,Sandeep  Didwania,,,,,,Broker,P81706305,,2016-07-13,,1075 SqFeet,
,,,3bhk,Within 3 Years,3 Bedroom Apartment / Flat for sale in Andheri East,sale,residential,Unfurnished,mumbai,,, Andheri East,propertywala,37500000,,,Dlg  PROP,,,,,,Broker,P75345958,,2016-07-18,,970 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for sale in Vishnu Nagar,sale,residential,,mumbai,,, Vishnu Nagar,propertywala,"2,600,000",,,Nitin  Mhatre,,,,,,Broker,P93524351,,2016-07-18,,315 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in J B Nagar,sale,residential,,mumbai,,, J B Nagar,propertywala,"22,000,000",,,,,,,,,Owner,P65514419,,2016-07-16,,1000 SqFeet,
,,,2bhk,Within 3 Years,2 Bedroom Independent House for sale in Virar East,sale,residential,Semi Furnished,mumbai,,, Virar East,propertywala,"2,000,000",,,Jennifer  pereira,,,,,,Builder,P56051637,,2016-07-17,,1400 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for sale in Cuffe Parade,sale,residential,,mumbai,,, Cuffe Parade,propertywala,"20,000",,,Ghanshyam Atmaram Fatnani,,,,,,Broker,P721191382,,2016-07-18,,,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in Powai,sale,residential,,mumbai,,, Powai,propertywala,"17,500,000",,,Amjad M Shaikh,,,,,,Broker,P33956534,,2016-07-17,,1120 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in Charkop Sector 8,sale,residential,Unfurnished,mumbai,,, Charkop Sector 8,propertywala,"12,700,000",,,Shivam  nanda,,,,,,Broker,P812516544,,2016-07-17,,900 SqFeet,
,,,3bhk,Within 6 Months,3 Bedroom Apartment / Flat for sale in Worli,sale,residential,Unfurnished,mumbai,,, Worli,propertywala,75000000,,,Bela  Shah,,,,,,Builder,P11430925,,2016-07-15,,2075 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for sale in Virar,sale,residential,Furnished,mumbai,,, Virar,propertywala,"1,951,000",,,,,,,,,Owner,P13431895,,2016-07-16,,600 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for sale in Dadar West,sale,residential,Unfurnished,mumbai,,, Dadar West,propertywala,"60,000,000",,,Kishor  Palav,,,,,,Broker,P14504164,,2016-07-14,,1400 SqFeet,
,,,3bhk,,"3 Bedroom Flat for sale in Kalpataru Brilliance, Goregaon West",sale,residential,Semi Furnished,mumbai,,," Kalpataru Brilliance, Goregaon West",propertywala,"21,420,000",Kalpataru Brilliance,,Square  Yards,,,,,,Broker,P22158351,,2016-07-04,,1530 SqFeet,
,,,,Immediate/Ready to move,Residential Plot / Land for sale in Virar East,sale,residential,,mumbai,,, Virar East,propertywala,"700,000",,,Kanchan  Patil,,,,,,Builder,P16863514,,2016-07-18,,600 SqFeet,
,,,None,Immediate/Ready to move,Agricultural Plot / Land for sale in Karjat,sale,commercial,,mumbai,,, Karjat,propertywala,12500000,,,Gita  S.,,,,,,Broker,P31983842,,2016-06-01,,10 Acres,
,,,4bhk,Immediate/Ready to move,"4 Bedroom Flat for sale in Ajmera Himalayan Heights, Wadala",sale,residential,Unfurnished,mumbai,,," Ajmera Himalayan Heights, Wadala",propertywala,"65,000,000",Ajmera Himalayan Heights,,Ankur  Kalwar,,,,,,Broker,P82864479,,2016-07-04,,3285 SqFeet,
,,,2bhk,Within 3 Months,2 Bedroom Apartment / Flat for sale in Mulund West,sale,residential,Semi Furnished,mumbai,,, Mulund West,propertywala,"15,000,000",,,,,,,,,Owner,P81415065,,2016-07-14,,920 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Fort,sale,commercial,Furnished,mumbai,,, Fort,propertywala,"3,000,000",,,,,,,,,Owner,P90555152,,2016-06-12,,150 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Goregaon East,sale,commercial,Semi Furnished,mumbai,,, Goregaon East,propertywala,"1,300,000",,,Sunil  Gautam,,,,,,Broker,P560215776,,2016-06-14,,200 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Grant Road area,sale,commercial,Semi Furnished,mumbai,,, Grant Road area,propertywala,"6,500,000",,,,,,,,,Owner,P82087365,,2016-06-14,,300 SqFeet,
,,,None,Immediate/Ready to move,Industrial Building for sale in Sion,sale,commercial,Furnished,mumbai,,, Sion,propertywala,"33,600,000",,,,,,,,,Owner,P75090979,,2016-06-13,,960 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in Dahisar East,sale,residential,,mumbai,,, Dahisar East,propertywala,"6,300,000",,,Gaurang  Properties,,,,,,Broker,P83416935,,2016-07-16,,900 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Goregaon West,sale,commercial,,mumbai,,, Goregaon West,propertywala,"15,000,000",,,,,,,,,Owner,P37507520,,2016-06-13,,696 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Andheri East,sale,commercial,Unfurnished,mumbai,,, Andheri East,propertywala,Available on request,,,Shailesh Jivan Patel,,,,,,Broker,P75150163,,2016-06-20,,45000 SqFeet,
,,,None,,Shop for sale in Vasai,sale,commercial,,mumbai,,, Vasai,propertywala,"2,300,000",,,Vipul A Mehta,,,,,,Broker,P12096835,,2016-06-15,,700 SqFeet,
,,,None,Immediate/Ready to move,Commercial Plot / Land for sale in Vasai East,sale,commercial,,mumbai,,, Vasai East,propertywala,"7,755,000",,,Vipul A Mehta,,,,,,Broker,P50742357,,2016-06-13,,5000 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Vikhroli West,sale,commercial,Semi Furnished,mumbai,,, Vikhroli West,propertywala,"7,800,000",,,,,,,,,Owner,P81470865,,2016-06-15,,320 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Andheri East,sale,commercial,Unfurnished,mumbai,,, Andheri East,propertywala,"33,600,000",,,K Raheja Group,,,,,,Builder,P79715701,,2016-06-13,,2400 SqFeet,
,,,None,Immediate/Ready to move,Showroom for sale in Bandra West,sale,commercial,Semi Furnished,mumbai,,, Bandra West,propertywala,"150,000,000",,,Rashid hassam bhimani,,,,,,Broker,P90763952,,2016-06-14,,2400 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Kandivali West,sale,commercial,Semi Furnished,mumbai,,, Kandivali West,propertywala,"40,500,000",,,,,,,,,Owner,P633100937,,2016-06-15,,900 SqFeet,
,,,None,,Office Space for sale in Fort,sale,commercial,,mumbai,,, Fort,propertywala,"15,000,000",,,Amit  Gill,,,,,,Broker,P42155158,,2016-06-21,,430 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Worli,sale,commercial,Furnished,mumbai,,, Worli,propertywala,"60,000,000",,,,,,,,,Owner,P34443515,,2016-06-19,,1130 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Nala Sopara,sale,commercial,,mumbai,,, Nala Sopara,propertywala,"1,000,000",,,Pramod R Mishra,,,,,,Broker,P22618044,,2016-06-21,,250 SqFeet,
,,,None,Immediate/Ready to move,Showroom for sale in Kurla West,sale,commercial,Semi Furnished,mumbai,,, Kurla West,propertywala,"5,500,000",,,,,,,,,Owner,P25906851,,2016-06-21,,248 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Andheri East,sale,commercial,Furnished,mumbai,,, Andheri East,propertywala,"53,165,000",,,,,,,,,Owner,P75150298,,2016-06-17,,1715 SqFeet,
,,,None,Immediate/Ready to move,Agricultural Plot / Land for sale in Kalyan,sale,commercial,,mumbai,,, Kalyan,propertywala,"108,000,000",,,Raffik Ganibhai Shaikh,,,,,,Builder,P57648408,,2016-06-20,,90 Acres,
,,,None,Immediate/Ready to move,Office Space for sale in Masjid Bunder,sale,commercial,Furnished,mumbai,,, Masjid Bunder,propertywala,,,,,,,,,,Owner,P52451664,,2016-06-24,,180 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Thakur Village,sale,commercial,,mumbai,,, Thakur Village,propertywala,"7,000,000",,,Charmy  Consultancy,,,,,,Builder,P55351680,,2016-06-25,,360 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Borivali East,sale,commercial,,mumbai,,, Borivali East,propertywala,"5,000,000",,,Kamlesh  Shah,,,,,,Broker,P44225167,,2016-06-25,,260 SqFeet,
,,,None,Immediate/Ready to move,Hotel / Resort for sale in Prabhadevi,sale,commercial,Furnished,mumbai,,, Prabhadevi,propertywala,"100,000,000",,,,,,,,,Owner,P48535159,,2016-06-21,,100000 SqFeet,
,,,4bhk,Within 3 Years,4 Bedroom Apartment / Flat for sale in Link Road area,sale,residential,Unfurnished,mumbai,,, Link Road area,propertywala,"67,650,000",,,Rajmohan  Agarwal,,,,,,Broker,P231215316,,2016-07-02,,4100 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in Malad West,sale,residential,,mumbai,,, Malad West,propertywala,"16,000,000",,,,,,,,,Owner,P23536251,,2016-07-11,,1050 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in Andheri East,sale,residential,,mumbai,,, Andheri East,propertywala,"25,000,000",,,Ashfaq Z Bukhari,,,,,,Broker,P75142828,,2016-07-15,,1000 SqFeet,
,,,3bhk,Within 3 Years,3 Bedroom Apartment / Flat for sale in Vaishali Nagar,sale,residential,Semi Furnished,mumbai,,, Vaishali Nagar,propertywala,"24,100,000",,,Pravin  Ladkat,,,,,,Broker,P921142721,,2016-07-02,,1557 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for sale in Powai,sale,residential,Furnished,mumbai,,, Powai,propertywala,"27,000,000",,,Pravin  Ladkat,,,,,,Broker,P211467912,,2016-07-02,,1363 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Farm House for sale in Karjat,sale,residential,,mumbai,,, Karjat,propertywala,"75,000,000",,,Rahul  Patil,,,,,,Broker,P81373035,,2016-07-12,,8 Acres,
,,,None,Immediate/Ready to move,Office Space for sale in Bhandup Industrial Estate,sale,commercial,,mumbai,,, Bhandup Industrial Estate,propertywala,"3,000,000",,,,,,,,,Owner,P701251963,,2016-06-23,,163 SqFeet,
,,,4bhk,Immediate/Ready to move,4 Bedroom Apartment / Flat for sale in Parel,sale,residential,,mumbai,,, Parel,propertywala,"80,100,000",,,PropertyWala  User,,,,,,Broker,P51051372,,2016-07-12,,,
,,,2bhk,Within 6 Months,2 Bedroom Apartment / Flat for sale in Andheri West,sale,residential,,mumbai,,, Andheri West,propertywala,"21,400,000",,,Deepak  Arora,,,,,,Broker,P57451398,,2016-07-15,,641 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in Gamdevi,sale,residential,Furnished,mumbai,,, Gamdevi,propertywala,"21,500,000",,,,,,,,,Owner,P75138976,,2016-07-14,,440 SqFeet,
,,,3bhk,Within 1 Year,"3 Bedroom Flat for sale in Ekta Tripolis, Goregaon West",sale,residential,Unfurnished,mumbai,,," Ekta Tripolis, Goregaon West",propertywala,"21,800,000",Ekta Tripolis,,Real Deal Housing,,,,,,Builder,P33706514,,2016-07-15,,1396 SqFeet,
,,,2bhk,Within 2 Years,2 Bedroom Apartment / Flat for sale in Mulund West,sale,residential,Unfurnished,mumbai,,, Mulund West,propertywala,"8,500,000",,,Pravin  Ladkat,,,,,,Broker,P43975174,,2016-07-02,,920 SqFeet,
,,,2bhk,Within 3 Years,"2 Bedroom Flat for sale in Sunteck Avenue, Lokhandwala",sale,residential,Semi Furnished,mumbai,,," Sunteck Avenue, Lokhandwala",propertywala,"14,688,000",Sunteck Avenue,,Square  Yards,,,,,,Broker,P35563511,,2016-07-02,,1088 SqFeet,
,,,2bhk,Within 3 Years,"2 Bedroom Flat for sale in Sunteck Avenue, Lokhandwala",sale,residential,Semi Furnished,mumbai,,," Sunteck Avenue, Lokhandwala",propertywala,"21,680,000",Sunteck Avenue,,Square  Yards,,,,,,Broker,P11155615,,2016-07-02,,1355 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for sale in Shanti Nagar,sale,residential,,mumbai,,, Shanti Nagar,propertywala,"6,000,000",,,,,,,,,Owner,P94283051,,2016-07-15,,,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for sale in Borivali West,sale,residential,Unfurnished,mumbai,,, Borivali West,propertywala,"16,500,000",,,Amit  Kapadia,,,,,,Broker,P810029880,,2016-07-15,,1000 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Mazgaon,sale,commercial,Semi Furnished,mumbai,,, Mazgaon,propertywala,"8,200,000",,,Abbas Ali  Arif,,,,,,Broker,P97788551,,2016-05-30,,180 SqFeet,
,,,None,,Multipurpose Building for sale in Andheri East,sale,commercial,,mumbai,,, Andheri East,propertywala,"8,000,000,000",,,,,,,,,Owner,P20601846,,2016-05-30,,97178 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Lokhandwala,sale,commercial,,mumbai,,, Lokhandwala,propertywala,"10,500,000",,,Jay  Sharma,,,,,,Broker,P46675210,,2016-06-03,,415 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Dahisar West,sale,commercial,Semi Furnished,mumbai,,, Dahisar West,propertywala,12500000,,,Prasad  jp,,,,,,Broker,P62519309,,2016-06-06,,775 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Ghatkopar West,sale,commercial,Semi Furnished,mumbai,,, Ghatkopar West,propertywala,"7,500,000",,,Devendra  Yadav,,,,,,Broker,P11892805,,2016-06-04,,450 SqFeet,
,,,None,Within 6 Months,Office Space for sale in Pali Naka,sale,commercial,,mumbai,,, Pali Naka,propertywala,"8,000,000",,,Aveline  Dsouza,,,,,,Broker,P97479050,,2016-05-23,,200 SqFeet,
,,,None,Immediate/Ready to move,Showroom for sale in Andheri West,sale,commercial,Semi Furnished,mumbai,,, Andheri West,propertywala,275000000,,,Salman Zafar khan,,,,,,Broker,P43525183,,2016-06-02,,4000 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Santacruz East,sale,commercial,Furnished,mumbai,,, Santacruz East,propertywala,"50,000,000",,,,,,,,,Owner,P81926715,,2016-06-06,,1786 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Mulund East,sale,commercial,,mumbai,,, Mulund East,propertywala,"30,000,000",,,S M Malde,,,,,,Broker,P91086350,,2016-06-03,,1500 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Malad West,sale,commercial,Unfurnished,mumbai,,, Malad West,propertywala,"5,200,000",,,,,,,,,Owner,P99530249,,2016-06-03,,440 SqFeet,
,,,None,Within 6 Months,Shop for sale in Pali Naka,sale,commercial,,mumbai,,, Pali Naka,propertywala,"8,000,000",,,Aveline  Dsouza,,,,,,Broker,P97448450,,2016-05-23,,200 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Worli,sale,commercial,Furnished,mumbai,,, Worli,propertywala,"92,500,000",,,Vivek  Gupta,,,,,,Broker,P86218059,,2016-05-23,,3200 SqFeet,
